 (Half Day),(Meio Dia)
'Update Stock' for Sales Invoice {0} must be set,"'Atualizar Estoque ""para vendas Invoice {0} deve ser definido"
* Will be calculated in the transaction.,* Será calculado na transação.
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 Moeda = [?] Fração
Por exemplo 1 R$ = 100 Centavos"
1. To maintain the customer wise item code and to make them searchable based on their code use this option,1. Para manter o código de item do cliente e para torná-los pesquisáveis ​​com base em seu código use esta opção
"<a href=""#Sales Browser/Customer Group"">Add / Edit</a>","<a href=""#Sales Browser/Customer grupo""> Adicionar / Editar </ a>"
"<a href=""#Sales Browser/Item Group"">Add / Edit</a>","<a href=""#Sales Browser/Item grupo""> Adicionar / Editar </ a>"
"<a href=""#Sales Browser/Territory"">Add / Edit</a>","<a href=""#Sales Browser/Territory""> Adicionar / Editar </ a>"
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4>O Modelo Padrão</h4>
<p>Utiliza <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> e todos os campos do Endereço (incluindo Campos Personalizados se houver) estarão disponíveis</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>"
A Customer Group exists with same name please change the Customer name or rename the Customer Group,Um grupo de clientes existente com o mesmo nome. Por favor altere o nome do cliente ou renomear o grupo de clientes
A Customer exists with same name,Um cliente existe com mesmo nome
A Lead with this email id should exist,Um Prospecto com esse endereço de e-mail deve existir
A Product or Service,Um produto ou serviço
A Supplier exists with same name,Um Fornecedor existe com mesmo nome
A symbol for this currency. For e.g. $,Um símbolo para esta moeda. Por exemplo: R$
AMC Expiry Date,Data de Validade do CAM
Abbr,Abrev
Abbreviation cannot have more than 5 characters,Abreviatura não pode ter mais de 5 caracteres
Above Value,Acima de Valor
Absent,Ausente
Acceptance Criteria,Critérios de Aceitação
Accepted,Aceito
Accepted + Rejected Qty must be equal to Received quantity for Item {0},Aceito Rejeitado + Qt deve ser igual a quantidade recebida por item {0}
Accepted Quantity,Quantidade Aceita
Accepted Warehouse,Almoxarifado Aceito
Account,Conta
Account Balance,Saldo em Conta
Account Created: {0},Conta Criada : {0}
Account Details,Detalhes da Conta
Account Head,Conta
Account Name,Nome da Conta
Account Type,Tipo de Conta
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","O saldo da conta já está no Crédito, você não tem permissão para definir 'Saldo deve ser' como 'Débito'"
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Saldo da conta já em Débito, você não está autorizado a definir 'Saldo deve ser' para 'Crédito'"
Account for the warehouse (Perpetual Inventory) will be created under this Account.,Conta para o almoxarifado (Inventário Permanente) será criada nessa conta.
Account head {0} created,Cabeçalho da Conta {0} criado
Account must be a balance sheet account,Conta deve ser uma conta de balanço
Account with child nodes cannot be converted to ledger,Conta com nós filhos não pode ser convertido em livro contábil
Account with existing transaction can not be converted to group.,Conta com a transação existente não pode ser convertido em grupo.
Account with existing transaction can not be deleted,Conta com a transação existente não pode ser excluído
Account with existing transaction cannot be converted to ledger,Conta com a transação existente não pode ser convertido em livro contábil
Account {0} cannot be a Group,Conta {0} não pode ser um grupo
Account {0} does not belong to Company {1},Conta {0} não pertence à empresa {1}
Account {0} does not exist,Conta {0} não existe
Account {0} has been entered more than once for fiscal year {1},Conta {0} foi inserido mais de uma vez para o ano fiscal {1}
Account {0} is frozen,Conta {0} está congelado
Account {0} is inactive,Conta {0} está inativo
Account {0} must be of type 'Fixed Asset' as Item {1} is an Asset Item,"Conta {0} deve ser do tipo "" Ativo Fixo "" como item {1} é um item de ativos"
"Account: {0} can only be updated via \
					Stock Transactions","Conta: {0} só pode ser atualizada via \
					Transações do Estoque"
Accountant,Contador
Accounting,Contabilidade
"Accounting Entries can be made against leaf nodes, called","Lançamentos contábeis podem ser feitos contra nós folha, chamados"
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Registro contábil congelado até a presente data, ninguém pode fazer / modificar entrada exceto papel especificado abaixo."
Accounting journal entries.,Lançamentos no livro Diário.
Accounts,Contas
Accounts Browser,Contas Navegador
Accounts Frozen Upto,Contas congeladas até
Accounts Payable,Contas a Pagar
Accounts Receivable,Contas a Receber
Accounts Settings,Configurações de contas
Active,Ativo
Active: Will extract emails from ,Ativo: Será que extrair e-mails a partir de
Activity,Atividade
Activity Log,Registro de Atividades
Activity Log:,Activity Log :
Activity Type,Tipo de Atividade
Actual,Real
Actual Budget,Orçamento Real
Actual Completion Date,Data de Conclusão Real
Actual Date,Data Real
Actual End Date,Data Final Real
Actual Invoice Date,Data Real da Fatura
Actual Posting Date,Data Real de Postagem
Actual Qty,Qtde Real
Actual Qty (at source/target),Qtde Real (na origem/destino)
Actual Qty After Transaction,Qtde Real Após a Transação
Actual Qty: Quantity available in the warehouse.,Qtde Real: A quantidade disponível no almoxarifado.
Actual Quantity,Quantidade Real
Actual Start Date,Data de Início Real
Add,Adicionar
Add / Edit Taxes and Charges,Adicionar / Editar Impostos e Encargos
Add Child,Adicionar Filho
Add Serial No,Adicionar Nº de Série
Add Taxes,Adicionar Impostos
Add Taxes and Charges,Adicionar Impostos e Encargos
Add or Deduct,Adicionar ou Deduzir
Add rows to set annual budgets on Accounts.,Adicionar linhas para definir orçamentos anuais nas Contas.
Add to Cart,Adicionar ao Carrinho
Add to calendar on this date,Adicionar ao calendário nesta data
Add/Remove Recipients,Adicionar / Remover Destinatários
Address,Endereço
Address & Contact,Endereço e Contato
Address & Contacts,Endereço e Contatos
Address Desc,Descrição do Endereço
Address Details,Detalhes do Endereço
Address HTML,Endereço HTML
Address Line 1,Endereço Linha 1
Address Line 2,Endereço Linha 2
Address Template,Modelo de Endereço
Address Title,Título do Endereço
Address Title is mandatory.,Endereço de título é obrigatório.
Address Type,Tipo de Endereço
Address master.,Cadastro de endereços.
Administrative Expenses,despesas administrativas
Administrative Officer,Chefe Administrativo
Advance Amount,Quantidade Antecipada
Advance amount,Valor antecipada
Advances,Avanços
Advertisement,Anúncio
Advertising,Publicidade
Aerospace,Espacial
After Sale Installations,Instalações Pós-Venda
Against,Contra
Against Account,Contra Conta
Against Bill {0} dated {1},Contra Fatura {0} {1} datada
Against Docname,Contra Documento
Against Doctype,Contra Tipo de Documento
Against Document Detail No,Contra Detalhe do Documento Nº
Against Document No,Contra Documento Nº
Against Entries,Contra Lançamentos
Against Expense Account,Contra a Conta de Despesas
Against Income Account,Contra a Conta de Receita
Against Journal Voucher,Contra Comprovante do Livro Diário
Against Journal Voucher {0} does not have any unmatched {1} entry,Contra Jornal Vale {0} não tem {1} entrada incomparável
Against Purchase Invoice,Contra a Fatura de Compra
Against Sales Invoice,Contra a Fatura de Venda
Against Sales Order,Contra Pedido de Vendas
Against Voucher,Contra Comprovante
Against Voucher Type,Contra Tipo de Comprovante
Ageing Based On,Depreciação Baseada Em
Ageing Date is mandatory for opening entry,Data de Depreciação é obrigatória para o lançamento de abertura
Ageing date is mandatory for opening entry,Data de Depreciação é obrigatória para o lançamento de abertura
Agent,Agente
Aging Date,Data de Depreciação
Aging Date is mandatory for opening entry,Data de Depreciação é obrigatória para o lançamento de abertura
Agriculture,Agricultura
Airline,Linha Aérea
All Addresses.,Todos os Endereços.
All Contact,Todos os Contatos
All Contacts.,Todos os contatos.
All Customer Contact,Todos os Contatos do Cliente
All Customer Groups,Todos os Grupos de Clientes
All Day,Dia Todo
All Employee (Active),Todos os Colaboradores (Ativos)
All Item Groups,Todos os grupos de itens
All Lead (Open),Todos Prospectos (Abertos)
All Products or Services.,Todos os Produtos ou Serviços.
All Sales Partner Contact,Todo Contato de Parceiros de Vendas
All Sales Person,Todos os Vendedores
All Supplier Contact,Todo Contato de Fornecedor
All Supplier Types,Todos os Tipos de Fornecedores
All Territories,Todos os Territórios
"All export related fields like currency, conversion rate, export total, export grand total etc are available in Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.","Todas as exportações campos relacionados, como moeda, taxa de conversão , a exportação total, a exportação total etc estão disponíveis na nota de entrega , POS, Cotação , Vendas fatura , Ordem de vendas etc"
"All import related fields like currency, conversion rate, import total, import grand total etc are available in Purchase Receipt, Supplier Quotation, Purchase Invoice, Purchase Order etc.","Todos os campos de importação relacionados, como moeda , taxa de conversão total de importação , importação total etc estão disponíveis no Recibo de compra , fornecedor de cotação , fatura de compra , ordem de compra , etc"
All items have already been invoiced,Todos os itens já foram faturados
All items have already been transferred for this Production Order.,Todos os itens já foram transferidos para esta ordem de produção .
All these items have already been invoiced,Todos esses itens já foram faturados
Allocate,Alocar
Allocate Amount Automatically,Alocar Valor Automaticamente
Allocate leaves for a period.,Alocar férias por um período.
Allocate leaves for the year.,Alocar férias para o ano.
Allocated Amount,Montante Alocado
Allocated Budget,Orçamento Alocado
Allocated amount,Montante alocado
Allocated amount can not be negative,O montante alocado não pode ser negativo
Allocated amount can not greater than unadusted amount,O montante alocado não pode ser maior que o valor 'unadusted'
Allow Bill of Materials,Permitir Lista de Materiais
Allow Bill of Materials should be 'Yes'. Because one or many active BOMs present for this item,Permitir Lista de Materiais deve ser 'Sim'. Existe uma ou várias listas de materiais ativas presentes para este item
Allow Children,Permitir Filhos
Allow Dropbox Access,Permitir Acesso Dropbox
Allow Google Drive Access,Permitir Acesso Google Drive
Allow Negative Balance,Permitir Saldo negativo
Allow Negative Stock,Permitir Estoque Negativo
Allow Production Order,Permitir Ordem de Produção
Allow User,Permitir Usuário
Allow Users,Permitir Usuários
Allow the following users to approve Leave Applications for block days.,Permitir os seguintes usuários aprovar Solicitações de Férias para o bloco de dias.
Allow user to edit Price List Rate in transactions,Permitir ao usuário editar Valor da Lista de Preços em transações
Allowance Percent,Percentual de Reserva
Allowance for over-delivery / over-billing crossed for Item {0},Reserva para over- entrega / sobre- faturamento cruzou para item {0}
Allowance for over-delivery / over-billing crossed for Item {0}.,Tolerância para sobre-envio / sobre-faturamento cruzado para o Item {0}.
Allowed Role to Edit Entries Before Frozen Date,Permitidos Papel para editar entradas Antes Congelado Data
Amended From,Alterado De
Amount,Valor Total
Amount (Company Currency),Montante (Moeda da Empresa)
Amount <=,Montante <=
Amount >=,Montante >=
Amount to Bill,Montante a Faturar
An Customer exists with same name,Existe um cliente com o mesmo nome
"An Item Group exists with same name, please change the item name or rename the item group",Um grupo de itens existe com o mesmo nome. Por favor mude o nome do item ou mudar o nome do grupo de itens
"An item exists with same name ({0}), please change the item group name or rename the item",Um item existe com o mesmo nome ( {0}). Por favor altere o nome do grupo de itens ou renomear o item
Analyst,Analista
Annual,Anual
Another Period Closing Entry {0} has been made after {1},Outra entrada Período de Encerramento {0} foi feita após {1}
Another Salary Structure {0} is active for employee {0}. Please make its status 'Inactive' to proceed.,Outra estrutura salarial {0} está ativa para o colaborador {0}. Por favor faça seu status 'inativo' para prosseguir .
"Any other comments, noteworthy effort that should go in the records.","Quaisquer outros comentários, esforço notável que deva ir para os registros."
Apparel & Accessories,Vestuário e Acessórios
Applicability,Aplicabilidade
Applicable For,Aplicável Para
Applicable Holiday List,Lista de Feriados Aplicável
Applicable Territory,Território Aplicável
Applicable To (Designation),Aplicável Para (Designação)
Applicable To (Employee),Aplicável Para (Colaborador)
Applicable To (Role),Aplicável Para (Função)
Applicable To (User),Aplicável Para (Usuário)
Applicant Name,Nome do Candidato
Applicant for a Job.,Candidato a uma vaga de emprego.
Application of Funds (Assets),Aplicações de Fundos (Ativos)
Applications for leave.,Solicitações de férias.
Applies to Company,Aplica-se a Empresa
Apply On,Aplicar Em
Appraisal,Avaliação
Appraisal Goal,Meta de Avaliação
Appraisal Goals,Metas de Avaliação
Appraisal Template,Modelo de Avaliação
Appraisal Template Goal,Meta do Modelo de Avaliação
Appraisal Template Title,Título do Modelo de Avaliação
Appraisal {0} created for Employee {1} in the given date range,Appraisal {0} criado para o Colaborador {1} no intervalo de datas
Apprentice,Aprendiz
Approval Status,Estado da Aprovação
Approval Status must be 'Approved' or 'Rejected',"Status de Aprovação deve ser ""Aprovado"" ou "" Rejeitado """
Approved,Aprovado
Approver,Aprovador
Approving Role,Função de Aprovação
Approving Role cannot be same as role the rule is Applicable To,A Função de Aprovação não pode ser o mesmo que papel a regra é aplicável a
Approving User,Usuário Aprovador
Approving User cannot be same as user the rule is Applicable To,Aprovando usuário não pode ser o mesmo que usuário a regra é aplicável a
Are you sure you want to STOP ,Tem certeza de que deseja PARAR 
Are you sure you want to UNSTOP ,Tem certeza de que deseja CONTINUAR 
Arrear Amount,Quantidade em Atraso
"As Production Order can be made for this item, it must be a stock item.","Como ordem de produção pode ser feita para este item , deve ser um item de estoque."
As per Stock UOM,Conforme UDM do Estoque
"As there are existing stock transactions for this item, you can not change the values of 'Has Serial No', 'Is Stock Item' and 'Valuation Method'","Como existem operações com ações existentes para este item , você não pode alterar os valores de 'não tem de série ', ' é Stock Item' e ' Método de avaliação '"
Asset,Ativo
Assistant,Assistente
Associate,Associado
Atleast one warehouse is mandatory,Pelo menos um almoxarifado é obrigatório
Attach Image,Anexar Imagem
Attach Letterhead,Anexar Cabeçalho Timbrado
Attach Logo,Anexar Logo
Attach Your Picture,Anexar sua Foto
Attendance,Comparecimento
Attendance Date,Data de Comparecimento
Attendance Details,Detalhes do Comparecimento
Attendance From Date,Data Inicial de Comparecimento
Attendance From Date and Attendance To Date is mandatory,Atendimento De Data e Atendimento Para Data é obrigatória
Attendance To Date,Data Final de Comparecimento
Attendance can not be marked for future dates,Comparecimento não pode ser marcado para datas futuras
Attendance for employee {0} is already marked,Comparecimento para o colaborador {0} já está marcado
Attendance record.,Registro de comparecimento.
Authorization Control,Controle de autorização
Authorization Rule,Regra de autorização
Auto Accounting For Stock Settings,Contabilidade Auto para o estoque Configurações
Auto Material Request,Pedido de Material Automático
Auto-raise Material Request if quantity goes below re-order level in a warehouse,Gerar automaticamente Pedido de Materiais se a quantidade for inferior ao nível de reposição em um almoxarifado
Automatically compose message on submission of transactions.,Compor automaticamente mensagem na apresentação de transações.
Automatically extract Job Applicants from a mail box ,Extrair automaticamente Candidatos à Vagas de Emprego de uma caixa de correio 
Automatically extract Leads from a mail box e.g.,Extrair automaticamente Prospectos de uma caixa de correio por exemplo
Automatically updated via Stock Entry of type Manufacture/Repack,Atualizado automaticamente através do lançamento de Estoque do tipo Fabricação/Reempacotamento
Automotive,Automotivo
Autoreply when a new mail is received,Responder automaticamente quando um novo e-mail é recebido
Available,Disponível
Available Qty at Warehouse,Qtde Disponível no Almoxarifado
Available Stock for Packing Items,Estoque Disponível para Itens da Embalagem
"Available in BOM, Delivery Note, Purchase Invoice, Production Order, Purchase Order, Purchase Receipt, Sales Invoice, Sales Order, Stock Entry, Timesheet","Disponível em BOM, nota de entrega , fatura de compra , ordem de produção , ordem de compra , Recibo de compra , fatura de venda , pedido de venda , Stock entrada , quadro de horários"
Average Age,Idade Média
Average Commission Rate,Taxa de Comissão Média
Average Discount,Desconto Médio
Awesome Products,Produtos Impressionantes
Awesome Services,Serviços Impressionantes
BOM Detail No,Nº do Detalhe da LDM
BOM Explosion Item,Item da Explosão da LDM
BOM Item,Item da LDM
BOM No,Nº da LDM
BOM No. for a Finished Good Item,Nº da LDM para um Item Acabado
BOM Operation,Operação da LDM
BOM Operations,Operações da LDM
BOM Replace Tool,Ferramenta de Substituição da LDM
BOM number is required for manufactured Item {0} in row {1},Nº da LDM é necessário para 0 item fabricado {0} na linha {1}
BOM number not allowed for non-manufactured Item {0} in row {1},Nº da LDM não é permitido para o item não fabricado {0} na linha {1}
BOM recursion: {0} cannot be parent or child of {2},Recursão da LDM: {0} não pode ser pai ou filho de {2}
BOM replaced,LDM substituída
BOM {0} for Item {1} in row {2} is inactive or not submitted,LDM {0} para o Item {1} na linha {2} está inativa ou não enviada
BOM {0} is not active or not submitted,LDM {0} não está ativa ou não enviada
BOM {0} is not submitted or inactive BOM for Item {1},LDM {0} não foi enviada ou LDM inativa para o Item {1}
Backup Manager,Gerenciamento de Cópia de Segurança
Backup Right Now,Faça Cópia de Segurança Agora
Backups will be uploaded to,Cópias de Segurança serão enviadas para
Balance Qty,Qtde do Balanço
Balance Sheet,Balanço
Balance Value,Valor do Balanço
Balance for Account {0} must always be {1},Saldo Conta {0} deve ser sempre {1}
Balance must be,Equilíbrio deve ser
"Balances of Accounts of type ""Bank"" or ""Cash""","Saldos das contas do tipo ""Banco"" ou ""Caixa"""
Bank,Banco
Bank A/C No.,Nº Cta. Bancária
Bank Account,Conta Bancária
Bank Account No.,Nº Conta Bancária
Bank Accounts,Contas Bancárias
Bank Clearance Summary,Resumo de Apuração Bancária
Bank Draft,Boleto Bancário
Bank Name,Nome do Banco
Bank Overdraft Account,Conta Garantida Banco
Bank Reconciliation,Reconciliação Bancária
Bank Reconciliation Detail,Detalhe da Reconciliação Bancária
Bank Reconciliation Statement,Extrato de Reconciliação Bancária
Bank Voucher,Comprovante Bancário
Bank/Cash Balance,Saldo de Banco/Caixa
Banking,Bancos
Barcode,Código de Barras
Barcode {0} already used in Item {1},Barcode {0} já utilizado em item {1}
Based On,Baseado em
Basic,Básico(a)
Basic Info,Informações Básicas
Basic Information,Informações Básicas
Basic Rate,Taxa Básica
Basic Rate (Company Currency),Taxa Básica (Moeda da Empresa)
Batch,Lote
Batch (lot) of an Item.,Lote de um Item.
Batch Finished Date,Data de Término do Lote
Batch ID,ID do Lote
Batch No,Nº do Lote
Batch Started Date,Data de Início do Lote
Batch Time Logs for billing.,Lote de Registros de Tempo para faturamento.
Batch-Wise Balance History,Histórico do Balanço Por Lotes
Batched for Billing,Agrupadas para Faturamento
Better Prospects,Melhores Prospectos
Bill Date,Data de Faturamento
Bill No,Fatura Nº
Bill No {0} already booked in Purchase Invoice {1},Nº da Fatura {0} já contabilizada na Fatura de Compra {1}
Bill of Material,Lista de Materiais
Bill of Material to be considered for manufacturing,Lista de Materiais a serem considerados para a fabricação
Bill of Materials (BOM),Lista de Materiais (LDM)
Billable,Faturável
Billed,Faturado
Billed Amount,Valor Faturado
Billed Amt,Valor Faturado
Billing,Faturamento
Billing Address,Endereço de Faturamento
Billing Address Name,Nome do Endereço de Faturamento
Billing Status,Estado do Faturamento
Bills raised by Suppliers.,Faturas emitidas por Fornecedores.
Bills raised to Customers.,Faturas emitidas para Clientes.
Bin,Caixa
Bio,Bio
Biotechnology,Biotecnologia
Birthday,Aniversário
Block Date,Bloquear Data
Block Days,Bloquear Dias
Block leave applications by department.,Bloquear Solicitações de Férias por departamento.
Blog Post,Artigo do Blog
Blog Subscriber,Assinante do Blog
Blood Group,Grupo Sanguíneo
Both Warehouse must belong to same Company,Ambos os Almoxarifados devem pertencer à mesma Empresa
Box,Caixa
Branch,Ramo
Brand,Marca
Brand Name,Marca
Brand master.,Cadastro de Marca.
Brands,Marcas
Breakdown,Pane
Broadcasting,Radiodifusão
Brokerage,Corretagem
Budget,Orçamento
Budget Allocated,Orçamento Alocado
Budget Detail,Detalhe do Orçamento
Budget Details,Detalhes do Orçamento
Budget Distribution,Distribuição de Orçamento
Budget Distribution Detail,Detalhe da Distribuição de Orçamento
Budget Distribution Details,Detalhes da Distribuição de Orçamento
Budget Variance Report,Relatório de Variação do Orçamento
Budget cannot be set for Group Cost Centers,Orçamento não pode ser definido por centros de custo do grupo
Build Report,Construir Relatório
Bundle items at time of sale.,Empacotar itens no momento da venda.
Business Development Manager,Gerente de Desenvolvimento de Negócios
Buying,Compras
Buying & Selling,Compra e Venda
Buying Amount,Valor da Compra
Buying Settings,Configurações de Compras
C-Form,Formulário-C
C-Form Applicable,Formulário-C Aplicável
C-Form Invoice Detail,Detalhe Fatura do Formulário-C
C-Form No,Nº do Formulário-C
C-Form records,Registros C -Form
Calculate Based On,Calcule Baseado em
Calculate Total Score,Calcular a Pontuação Total
Calendar Events,Calendário de Eventos
Call,Chamar
Calls,Chamadas
Campaign,Campanha
Campaign Name,Nome da Campanha
Campaign Name is required,Nome da Campanha é necessário
Campaign Naming By,Nomear Campanha Por
Campaign-.####,Campanha-.####
Can be approved by {0},Pode ser aprovado pelo {0}
"Can not filter based on Account, if grouped by Account","Não é possível filtrar com base em conta , se agrupados por Conta"
"Can not filter based on Voucher No, if grouped by Voucher","Não é possível filtrar com base no Comprovante Não, se agrupados por voucher"
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',Pode se referir linha apenas se o tipo de acusação é 'On Anterior Valor Row ' ou ' Previous Row Total'
Cancel Material Visit {0} before cancelling this Customer Issue,Cancelar Visita Material {0} antes de cancelar este Problema do Cliente
Cancel Material Visits {0} before cancelling this Maintenance Visit,Cancelar Visitas Materiais {0} antes de cancelar esta Visita de Manutenção
Cancelled,Cancelado
Cancelling this Stock Reconciliation will nullify its effect.,Cancelando este Stock Reconciliação vai anular seu efeito.
Cannot Cancel Opportunity as Quotation Exists,Não é possível cancelar Opportunity como Cotação existe
Cannot approve leave as you are not authorized to approve leaves on Block Dates,Não foi possível aprovar a licença que você não está autorizado a aprovar folhas em datas Bloco
Cannot cancel because Employee {0} is already approved for {1},Não pode cancelar porque Colaborador {0} já está aprovado para {1}
Cannot cancel because submitted Stock Entry {0} exists,Não pode cancelar por causa da entrada submetido {0} existe
Cannot carry forward {0},Não é possível levar adiante {0}
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,Não é possível alterar a Data Inicial e a Data Final do Ano Fiscal pois o mesmo foi salvo.
"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.","Não é possível alterar a moeda padrão da empresa, porque existem operações existentes. Transações devem ser canceladas para alterar a moeda padrão."
Cannot convert Cost Center to ledger as it has child nodes,"Não é possível converter Centro de Custo em livro contábil, uma vez que tem nós filhos"
Cannot covert to Group because Master Type or Account Type is selected.,Não é possível converter ao Grupo porque Type Master ou Tipo de Conta é selecionado.
Cannot deactive or cancle BOM as it is linked with other BOMs,"Não pode desativados ou cancle BOM , pois está relacionada com outras BOMs"
"Cannot declare as lost, because Quotation has been made.","Não pode declarar como perdido , porque Cotação foi feita."
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',Não pode deduzir quando é para categoria ' Avaliação ' ou ' Avaliação e Total'
"Cannot delete Serial No {0} in stock. First remove from stock, then delete.","Não é possível excluir Nº de Série {0} em estoque. Primeiro retire do estoque , em seguida, exclua ."
"Cannot directly set amount. For 'Actual' charge type, use the rate field","Não é possível definir diretamente montante. Para ' Actual ' tipo de carga , use o campo taxa"
"Cannot overbill for Item {0} in row {0} more than {1}. To allow overbilling, please set in Stock Settings","Não é possível sobrefaturar para o Item {0} na linha {0} mais de {1}. Para permitir sobrefaturação, por falor defina nas Configurações do Estoque"
Cannot produce more Item {0} than Sales Order quantity {1},Não é possível produzir mais item {0} do que a quantidade Pedido de Vendas {1}
Cannot refer row number greater than or equal to current row number for this Charge type,Não é possível consultar número da linha superior ou igual ao número da linha atual para este tipo de carga
Cannot return more than {0} for Item {1},Não pode retornar mais de {0} para {1} item
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,"Não é possível selecionar o tipo de carga como "" Valor Em linha anterior ' ou ' On Anterior Row Total ' para a primeira linha"
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for valuation. You can select only 'Total' option for previous row amount or previous row total,"Não é possível selecionar o tipo de carga como "" Valor Em linha anterior ' ou ' On Anterior Row Total ' para a avaliação. Você pode selecionar apenas a opção ' Total' para montante linha anterior ou linha anterior total de"
Cannot set as Lost as Sales Order is made.,Não é possível definir como perdida como pedido de venda é feita.
Cannot set authorization on basis of Discount for {0},Não é possível definir a autorização com base em desconto para {0}
Capacity,Capacidade
Capacity Units,Unidades de Capacidade
Capital Account,Conta Capital
Capital Equipments,Equipamentos Capitais
Carry Forward,Encaminhar
Carry Forwarded Leaves,Encaminhar Licenças
Case No(s) already in use. Try from Case No {0},Processo n º (s) já está em uso . Tente de Processo n {0}
Case No. cannot be 0,Caso n não pode ser 0
Cash,Dinheiro
Cash In Hand,Dinheiro Em Caixa
Cash Voucher,Comprovante Do Caixa
Cash or Bank Account is mandatory for making payment entry,Caixa ou Conta Bancária são obrigatórias para a fazer lançamentos de pagamento
Cash/Bank Account,Conta do Caixa/Banco
Casual Leave,Licença Casual
Cell Number,Telefone Celular
Change UOM for an Item.,Alterar UDM de um item.
Change the starting / current sequence number of an existing series.,Alterar o número sequencial de início/atual de uma série existente.
Channel Partner,Parceiro de Canal
Charge of type 'Actual' in row {0} cannot be included in Item Rate,Taxa do tipo 'Real' na linha {0} não pode ser incluído no Valor do Item
Chargeable,Taxável
Charity and Donations,Caridade e Doações
Chart Name,Nome do Gráfico
Chart of,Plano de
Chart of Accounts,Plano de Contas
Chart of Cost Centers,Plano de Centros de Custo
